Drug,Conditions,Breadth_pct
amoxicillin,26,9.6
prednisolone,23,8.5
paracetamol,22,8.1
erythromycin,18,6.7
metronidazole,18,6.7
ceftriaxone,15,5.6
diazepam,12,4.4
hydrocortisone,12,4.4
ibuprofen,11,4.1
gentamicin,10,3.7
penicillin,10,3.7
tetracycline,9,3.3
aspirin,9,3.3
diclofenac,9,3.3
furosemide,9,3.3
ciprofloxacin,9,3.3
insulin,8,3.0
doxycycline,7,2.6
warfarin,7,2.6
heparin,6,2.2
azithromycin,6,2.2
phenobarbitone,6,2.2
dexamethasone,6,2.2
morphine,5,1.9
cotrimoxazole,5,1.9
ampicillin,5,1.9
ivermectin,5,1.9
clarithromycin,4,1.5
chloroquine,4,1.5
hydroxychloroquine,4,1.5
haloperidol,4,1.5
aminophylline,4,1.5
digoxin,4,1.5
spironolactone,3,1.1
amlodipine,3,1.1
lisinopril,3,1.1
valproate,3,1.1
atenolol,3,1.1
cloxacillin,3,1.1
nifedipine,3,1.1
fluconazole,3,1.1
omeprazole,3,1.1
vancomycin,3,1.1
quinine,3,1.1
misoprostol,2,0.7
tramadol,2,0.7
salbutamol,2,0.7
albendazole,2,0.7
ranitidine,2,0.7
mebendazole,2,0.7
praziquantel,2,0.7
benzylpenicillin,2,0.7
flucloxacillin,2,0.7
rifampicin,2,0.7
metoclopramide,2,0.7
oxytocin,1,0.4
theophylline,1,0.4
amiodarone,1,0.4
metformin,1,0.4
artemether,1,0.4
lumefantrine,1,0.4
artesunate,1,0.4
levofloxacin,1,0.4
isoniazid,1,0.4
pyrazinamide,1,0.4
ethambutol,1,0.4
chlorpromazine,1,0.4
phenytoin,1,0.4
